Low Answerer Id	Top Answerer	Weight
4908989	500298	2
1799794	3189029	2
1090901	3189029	2
2709708	3189029	2
4739018	9642717	1
1123505	9642717	1
5260024	9642717	1
1483981	1410918	1
350231	816620	1
3041194	816620	1
2359436	2611780	1
3449215	1115367	1
2545286	4698464	1
8997372	3721086	1
