Asker_Id	Answerer_Id
4282529	2158878
4282529	4555964
1636876	3914724
6401008	1087910
5619896	5200704
5619896	768795
6330628	2801559
6330628	1927618
6330628	1052826
6461911	1447509
5010192	6374028
5010192	2065039
5331601	5340535
3732711	3971928
5061865	1918890
5889751	4050852
568503	1799096
4864334	4912716
580950	336441
3914509	5539577
3914509	3002426
2308024	2232458
2308024	1243086
3967113	2851301
629127	2991619
3422159	3258604
4635579	4941993
4635579	1828235
1721367	2991619
2057387	4114907
2057387	4844421
4933137	5037740
4933137	611293
4933137	421163
4933137	3973105
3740894	557748
4837417	4157279
2500177	1143572
4289616	2992220
4637160	201078
4637160	4637160
4637160	238310
4637160	1143622
4637160	519413
4429401	2476755
1269907	3113558
1269907	1585362
2936448	2173853
2279078	114251
2089267	3943125
3077601	3577767
3330034	242076
3817050	3817050
3817050	1433150
1379292	2540625
2064800	2064800
1218380	2594702
1613047	3637307
1150599	1249198
2533082	3324060
3221708	870949
3221708	2993986
1330455	3041194
2665236	805003
2665236	2329962
2665236	3049246
2804469	563535
2804469	2999947
2763154	255376
2875477	2049063
2875477	2875033
1110621	1921385
1110621	3575029
1032650	815386
1032650	1459299
1926956	1729773
1926956	840604
675065	1614825
1125062	1125062
1125062	257182
1125062	575527
1148619	1265216
1096998	507784
1096998	1193055
696465	1019753
696465	752738
398431	653882
398431	637740
398431	513021
11469969	9108165
7947246	1354685
10140611	8073040
9822065	3571366
9968719	9968719
6423904	5177045
6423904	5535040
9386839	7056686
8634006	5340347
8634006	8620333
9313899	695364
5010770	6460365
9063677	9148822
9063677	5225334
8906381	8380177
6813005	590373
6813005	3212723
8507117	5490908
6728630	2427065
7563449	8427082
7563449	4051713
4297979	46914
3569413	5641669
3569413	7996196
8089014	6247556
7786344	7104346
7786344	7152885
7826395	4768433
7826395	7719592
7737117	7737117
7737117	7717626
7559344	6637228
7632450	431859
6696904	7091398
5900689	374601
7278812	2428889
7278812	6436398
4704969	4124227
4704969	746736
7208831	7208831
7207330	2720743
7207330	7108103
7207330	4885784
4640719	6555896
3634506	6935327
6923084	2893878
6845164	996100
6222152	2587784
6222152	5790498
6653823	6653823
6653823	2437790
6501933	2238940
6501933	4147978
4400252	4400252
4506154	2863319
4381665	1601698
5425885	1365104
2216919	46588
2216919	1752518
5027061	2865792
5027061	4021991
5902266	5902266
5902266	1429980
419425	1079913
5812048	5812048
5762524	3923665
5762524	4255447
2024493	2024493
4972993	4336761
1570524	5118056
1760937	4242163
1760937	5231186
1038814	568162
1038814	794749
1038814	1166642
1038814	1242389
5369127	4592928
4634937	1376624
4634937	2805519
4534860	4365315
1893672	5285945
4853130	5037551
1218781	4179776
1280391	1299073
1280391	1280391
3819449	2801559
3819449	561429
3819449	5002838
3819449	2116097
4932412	1582029
4785333	500298
4785333	4908989
3730179	4756106
3634173	4515956
3634173	3815092
2313464	1659277
2302662	4603285
4443442	2902208
2851618	1496715
4562144	4171115
3405502	586051
4390303	1240972
2498890	2260946
2498890	1428241
3542254	4055525
1424667	1375710
2751134	798539
1880580	1880580
3180638	789001
208081	2689500
2904881	395910
2498890	1265216
2498890	249867
1074005	3170478
1074005	463205
2363481	449455
2872460	3041194
3243173	5919316
3243173	2482557
3243173	2721388
3243173	1844763
1006605	1727038
3137631	2065702
2952757	926594
2952757	260640
2952757	3075664
2201975	2026065
1650757	2876280
2513846	2914742
2746178	2588368
2822337	949744
2248259	2323059
1488814	114251
1488814	1723626
1802970	1802970
1802970	538901
1363964	688422
1951979	837251
1870109	302793
1870109	1005975
3677168	3677168
5615228	1123505
4909783	361762
3243173	1799794
3243173	1090901
3243173	3189029
3243173	2709708
4770609	8440598
7297002	9642717
7297002	4739018
7297002	1123505
7297002	5260024
3005003	687901
6475972	3841431
2001594	1410918
2001594	1483981
3180638	1828084
2002077	816620
2002077	350231
2002077	3041194
1108407	3041194
12231153	10422730
10515503	8071073
9565908	1210271
9565908	68788
2763154	7947689
3771012	4737729
6300892	6028607
6300892	6315719
6157267	6157267
5570920	2328974
4223358	4223358
4223358	2720041
4568705	19068
2420042	3703531
4118402	2611780
4118402	2359436
1115367	1115367
1115367	3449215
4110405	1913729
4833572	3546939
6408838	5104748
2958431	1118830
9859452	6081906
9859452	6542963
1031362	2702894
3740413	839501
4894657	519413
4894657	4775312
4575240	2545286
4575240	4698464
8997372	3721086
8997372	8997372
3390083	4703663
2065044	1910265
